date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country
14-11-2024,18:30,5 min,4800 Nykøbing F,1,sort,Starlink satellitter,2024,4,300,Danmark
14-11-2024,18:30,30 sek,6740 Bramming,1,hvid,Starlink satellitter,2024,4,30,Danmark
16-11-2024,23:17,ca. 2 min,4673 Rødvig,1,blå,Fotosag,2024,4,120,Danmark
17-11-2024,20:52,1 min,8870 Langå,1,ukendt,,2024,4,60,Danmark
18-11-2024,18:47,ca. 1 min,8800 Viborg,3,"hvid, sort",Starlink satellitter,2024,4,60,Danmark
18-11-2024,18:47,ca. 1 min,6100 Haderslev,1,hvid,Fotosag. Starlink satellitter,2024,4,60,Danmark
18-11-2024,18:47,5–10 min,6100 Haderslev,1,hvid,Starlink satellitter,2024,4,600,Danmark
18-11-2024,18:50,1–2 min,4840 Nørre Vedby,2,ukendt,Starlink satellitter,2024,4,120,Danmark
18-11-2024,18:50,1 min,5750 Ringe,2,hvid,Starlink satellitter,2024,4,60,Danmark
19-11-2024,19:00,1 min,7100 Vejle,1,hvid,Starlink satellitter,2024,4,60,Danmark
19-11-2024,21:00,2 min,6600 Vejen,1,gul,Varmluftballon,2024,4,120,Danmark
21-11-2024,18:45,ca. 3 min,5560 Aarup,2,ukendt,Starlink,2024,4,180,Danmark
22-11-2024,19:45,15–30 sek,6000 Kolding,1,ukendt,,2024,4,30,Danmark
29-11-2024,16:46,under 10 sek.,1051 København K,1,"blå, grå",Fotosag Kamera-refleks,2024,4,10,Danmark
01-12-2024,01:05,ca. 5 sek,5856 Ryslinge,1,hvid,,2024,4,5,Danmark
11-12-2024,21:00,mere end 3 min,4780 Stege,1,"blå, rød",,2024,4,180,Danmark
11-12-2024,23:55,20 min,3450 Allerød,2,ukendt,Fotosag Sirus,2024,4,1200,Danmark
19-12-2024,17:20,,4050 Skibby,2,hvid,Projektørlys,2024,4,0,Danmark
20-12-2024,17:05,2–3 min,5240 Odense NØ,1,hvid,Satellit,2024,4,180,Danmark
20-12-2024,23:11,5 min,6000 Kolding,1,hvid,Fotosag Fly,2024,4,300,Danmark
26-12-2024,06:40,10 min,8471 Fajstrup,1,hvid,,2024,4,600,Danmark
02-01-2023,21:03,10 sek,5492 Vissenbjerg,1,blå,se beretning,2023,1,10,Danmark
12-01-2023,05:40,15 sek,2750 Ballerup,1,hvid,se beretning,2023,1,15,Danmark
16-01-2023,03:10,25 sek,8000 Aarhus C,1,rød,se beretning,2023,1,25,Danmark
16-01-2023,08:20,10–15 min,8240 Risskov,2,gul,se beretning,2023,1,900,Danmark
18-01-2023,19:00,5 min,9382 Tylstrup,1,"blå, hvid, rød",Flyse beretning,2023,1,300,Danmark
27-01-2023,18:15,30 min,4800 Nykøbing F,2,"grøn, hvid, rød",se beretning,2023,1,1800,Danmark
30-01-2023,22:50,25min,8464 Galten,1,"gul, hvid",Siriusse beretning,2023,1,1500,Danmark
01-02-2023,06:37,?,7500 Holstebro,1,ukendt,se beretning,2023,1,0,Danmark
04-02-2023,17:56,1 sek,6740 Bramming,1,"grå, gul, hvid",se beretning,2023,1,1,Danmark
04-02-2023,21:15,5 sek,"Søgård Sø, Hjerting6710 Esbjerg V",2,hvid,se beretning,2023,1,5,Danmark
18-02-2023,07:36,5 sek,2970 Hørsholm,1,hvid,se beretning,2023,1,5,Danmark
19-02-2023,06:31,4–8 sek,8752 Østbirk,1,hvid,Ildkuglese beretning,2023,1,8,Danmark
19-02-2023,06:32,5 sek,2650 Avedøre,2,hvid,Ildkuglese beretning,2023,1,5,Danmark
19-02-2023,06:45,3–5 sek,2100 København Ø,1,hvid,Ildkuglese beretning,2023,1,5,Danmark
21-02-2023,06:25,3 min,Maglelund2660 Brøndby Strand,3,hvid,Starlinkse beretning,2023,1,180,Danmark
21-02-2023,11:00,3 min,8350 Hundslund,5,hvid,se beretning,2023,1,180,Danmark
26-02-2023,20:23,5 sek,2840 Holte,2,"gul, orange",se beretning,2023,1,5,Danmark
26-02-2023,20:50,ca. 10 min,3460 Birkerød,2,"rød, sort",se beretning,2023,1,600,Danmark
28-02-2023,20:10,1 min,3000 Helsingør,1,grøn,se beretning,2023,1,60,Danmark
01-03-2023,00:00,ca. 1 t,2860 Søborg,1,"gul, hvid, rød",Konjunktion Venus Jupiterse beretning,2023,1,3600,Danmark
05-03-2023,20:50,ca. 3 sek,4600 Køge,1,gul,se beretning,2023,1,3,Danmark
08-03-2023,13:56,10 sek,8680 Ry,1,sølv,se beretning,2023,1,10,Danmark
11-03-2023,11:23,1 sek,2300 København S,1,hvid,se beretning,2023,1,1,Danmark
15-03-2023,09:37,1 sek,2300 København S,1,hvid,se beretning,2023,1,1,Danmark
26-03-2023,05:00,15 min,9220 Aalborg Øst,3,blå,se beretning,2023,1,900,Danmark
27-03-2023,21:00,20+ sek,9900 Frederikshavn,1,hvid,se beretning,2023,1,1200,Danmark
06-08-2022,16:00,5 min,3760 Rø,2,"blå, hvid, sort",se beretning,2023,2,300,Danmark
05-04-2023,05:10,5–7 min,E45 mellem Christiansfeld og Kolding S,1,hvid,se beretning,2023,2,420,Danmark
17-04-2023,22:56,10 sek,2860 Søborg,1,hvid,se beretning,2023,2,10,Danmark
18-04-2023,20:00,"8,2 sek",8240 Risskov,1,grøn,se beretning,2023,2,2,Danmark
18-04-2023,20:30,"0,5 sek",8240 Risskov,1,grøn,se beretning,2023,2,5,Danmark
18-04-2023,22:05,2 sek,7100 Vejle,2,gul,ildkuglese beretning,2023,2,2,Danmark
22-04-2023,23:00,4 sek,4534 Hørve,2,hvid,se beretning,2023,2,4,Danmark
02-05-2023,00:43,4 min,8400 Ebeltoft,1,hvid,se beretning,2023,2,240,Danmark
02-05-2023,00:00,1 sek,6470 Sydals,1,ukendt,se beretning,2023,2,1,Danmark
08-05-2023,24:00,8 sek,4660 Store Heddinge,1,"grå, hvid",se beretning,2023,2,8,Danmark
13-05-2023,01:00,ca. 60 sek,2950 Vedbæk,2,hvid,se beretning,2023,2,60,Danmark
17-05-2023,02:45,ca. 2 min,4100 Ringsted,1,ukendt,Starlinkse beretning,2023,2,120,Danmark
20-05-2023,12:01,?,3480 Fredensborg,1,"gul, hvid",se beretning,2023,2,0,Danmark
21-05-2023,00:20,30 min,9574 Bælum,1,"gul, hvid",se beretning,2023,2,1800,Danmark
27-05-2023,22:52,3 min,8400 Ebeltoft,3,rød,se beretning,2023,2,180,Danmark
28-05-2023,00:20,1 min,8210 Aarhus V,1,hvid,Starlinkse beretning,2023,2,60,Danmark
07-06-2023,09:40,10 min,2000 Frederiksberg,2,hvid,se beretning,2023,2,600,Danmark
07-06-2023,16:40,6–7 min,8930 Randers NØ,2,ukendt,se beretning,2023,2,420,Danmark
08-06-2023,00:05,2x30 sek,"29639 Montebello, Benalmádena,",1,"grøn, hvid, rød",se beretning,2023,2,30,Spanien
10-06-2023,04:40,2 sek,6520 Toftlund,1,hvid,se beretning,2023,2,2,Danmark
17-06-2023,23:30,?,4305 Orø,1,"hvid, sort",se beretning,2023,2,0,Danmark
18-06-2023,04:03,30 sek,2450 København SV,1,sort,se beretning,2023,2,30,Danmark
20-06-2023,01:14,ca. 20 sek,5932 Humble,1,hvid,se beretning,2023,2,20,Danmark
29-06-2023,23:45,2x 1–2 sek,8680 Ry,2,hvid,se beretning,2023,2,2,Danmark
15-07-1980,20:00,ca. 1 t,5260 Odense S,3,rød,se beretning,2023,3,3600,Danmark
31-10-2015,19:35,5 min,4800 Nykøbing F,4,rød,se beretning,2023,3,300,Danmark
01-05-2021,19:30,ca. 15–20 sek,Grib Skov,1,ukendt,se beretning,2023,3,20,Danmark
