date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country,postnr,latitude,longitude
06-09-2024,01:45,ca 30 sek,3220 Tisvildeleje,1,ukendt,Starlink satellitter,2024,3,30,Danmark,3220,56.12775807,11.95917304
11-09-2024,23:30,3–5 sek,8660 Skanderborg,1,ukendt,,2024,3,5,Danmark,8660,56.02388208,9.89235588
13-09-2024,22:50,5 min,7000 Fredericia,3,hvid,Fotosag,2024,3,300,Danmark,7000,55.57103757,9.66918005
16-09-2024,20:45,30–60 sek,5771 Stenstrup,1,hvid,Fotosag. Utilstrækkelig data,2024,3,60,Danmark,5771,55.12556284,10.52352287
19-09-2024,01:13,ca. 2 min,3630 Kulhuse,1,hvid,Fotosag. Flyvende sommer,2024,3,120,Danmark,3630,55.86932225,11.91680034
23-09-2024,03:03,2 min,4970 Rødbyhavn,1,hvid,Fotosag. Flyvende sommer,2024,3,120,Danmark,4970,54.53635729,11.57693074
29-09-2024,13:08,10 sek,9440 Aabybro,1,hvid,,2024,3,10,Danmark,9440,57.16282327,9.76743314
29-09-2024,22:40,10–15 sek,3770 Allinge,2,sort,,2024,3,15,Danmark,3770,55.36353136,14.76377199
15-01-1989,07:30,5 min,2450 København SV,1,ukendt,,2024,4,300,Danmark,2450,55.64077611,12.52309722
08-05-2022,21:00,Under 1 sek,4293 Dianalund,2,hvid,,2024,4,1,Danmark,4293,55.53579978,11.48228398
04-11-2023,21:59,20–30 min,2970 Hørsholm,1,hvid,Fotosag Laserlys,2024,4,1800,Danmark,2970,55.88126308,12.43890506
12-12-2023,19:04,,9490 Pandrup,1,ukendt,FotosagLaserlys,2024,4,0,Danmark,9490,57.20322545,9.65450533
04-01-2024,18:58,,"Maspalomas, Gran Canaria",1,"grå, hvid",Fotosag Kamera-refleks,2024,4,0,Danmark,nan,,
15-07-2024,17:00,Få min,4700 Næstved,1,"grå, sort",,2024,4,0,Danmark,4700,55.19504272,11.77357353
29-09-2024,21:35,ca. 10 sek,1362 København K,3,ukendt,Fugle oplys af bylys?,2024,4,10,Danmark,1362,55.68488443,12.56993139
02-10-2024,20:30,15 min,7860 Spøttrup,1,hvid,,2024,4,900,Danmark,7860,56.62419195,8.82098992
04-10-2024,20:00,3 sek,2730 Herlev,1,ukendt,,2024,4,3,Danmark,2730,55.74057031,12.42581802
05-10-2024,06:36,ca. 5 min,5260 Odense S,2,ukendt,Fotosag Projektørlys,2024,4,300,Danmark,5260,55.34939755,10.39917484
05-10-2024,06:38,ca. 15 min,"5320 Bullerup,  Agedrup",1,hvid,Fotosag Projektørlys,2024,4,900,Danmark,5320,55.43442698,10.48909454
08-10-2024,23:11,10 min,1051 København K,4,hvid,Fotosag Kranlys,2024,4,600,Danmark,1051,55.6798377,12.59022696
11-10-2024,21:07,6 sek,5953 Tranekær,1,"hvid, rød",Fotosag Ildkugle,2024,4,6,Danmark,5953,55.06361655,10.94268354
15-10-2024,17:23,Nog­le min,3300 Frederiksværk,1,ukendt,Fotosag Kamera-refleks,2024,4,0,Danmark,3300,55.97774198,12.05634805
